Actor/Criterion,Total_cognitive_score,Avg_outcome_difference,Percentage_treated,Mean_outcome_treated,Mean_outcome_control,Cost_effectiveness,Accuracy,Mean_Regret,Demographic_Parity,Percent_A,Percent_C,Demographic_Parity Normalized,Total_cognitive_score Normalized,Avg_outcome_difference Normalized,Percentage_treated Normalized,Mean_outcome_treated Normalized,Mean_outcome_control Normalized,Accuracy Normalized,Mean_Regret Normalized,Cost_effectiveness Normalized,Demographic_Parity Rank,Total_cognitive_score Rank,Avg_outcome_difference Rank,Percentage_treated Rank,Mean_outcome_treated Rank,Mean_outcome_control Rank,Accuracy Rank,Mean_Regret Rank,Cost_effectiveness Rank,Weighted Normalized-Sum
Outcome_Maxim,3876.1,0.0,1.0,6.492629815745394,0.0,0.04502884795429231,0.9916247906197655,0.0068676716917923,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9916247906197655,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,0.9966499162479063
Kalai-Smorodinsky,3876.1,0.0,1.0,6.492629815745394,0.0,0.04502884795429231,0.9916247906197655,0.0068676716917923,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9916247906197655,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,0.9966499162479063
Policy_Maker,3869.1,1.3398819561551427,0.9932998324958124,6.489881956155143,5.15,0.0449983161810673,0.9849246231155779,0.018592964824120605,0.007181328545781018,0.9932998324958124,0.006700167504187605,0.9352750809061484,0.9956527139505411,0.6459889148988349,0.9904761904761905,0.9687617215095441,1.0,0.9849246231155779,0.995652713950541,0.9687617215095409,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,0.9739077525194773
Compromise Programming,3796.499999809265,1.6191568335275166,0.9430485762144054,6.451509769094138,4.832352935566622,0.04457195854705613,0.9447236180904522,0.1402010053446145,0.06104129263913827,0.9430485762144054,0.05695142378559464,0.44983818770226525,0.9505651470905557,0.5722015174897446,0.9190476190476191,0.532538171386255,0.9383209583624508,0.9447236180904522,0.9505651470905558,0.5325381713862498,9.0,4.0,4.0,4.0,5.0,2.0,4.0,4.0,5.0,0.7644777484719951
Nash Social Welfare,3511.800000119209,3.13380125770718,0.8207705192629816,6.444081632653061,3.310280374945881,0.044489423697710834,0.8224455611390284,0.6170854269359978,-0.022262118491920946,0.8207705192629816,0.17922948073701842,0.7993527508090621,0.7737548132429073,0.17201632678464177,0.7452380952380955,0.4480934655378421,0.642772888339006,0.8224455611390284,0.7737548132429075,0.44809346553784024,5.0,7.0,7.0,7.0,6.0,5.0,7.0,7.0,6.0,0.7332184303735734
Proportional Fairness,3511.800000119209,3.13380125770718,0.8207705192629816,6.444081632653061,3.310280374945881,0.044489423697710834,0.8224455611390284,0.6170854269359978,-0.022262118491920946,0.8207705192629816,0.17922948073701842,0.7993527508090621,0.7737548132429073,0.17201632678464177,0.7452380952380955,0.4480934655378421,0.642772888339006,0.8224455611390284,0.7737548132429075,0.44809346553784024,5.0,7.0,7.0,7.0,6.0,5.0,7.0,7.0,6.0,0.7332184303735734
Parent,3524.9999999523166,3.0096519119456495,0.8324958123953099,6.408651911468813,3.3989999995231637,0.044095760128996964,0.8375209380234506,0.5949748744517315,0.018761220825852742,0.8324958123953099,0.16750418760469013,0.8309061488673143,0.7819525525468114,0.2048179063609177,0.7619047619047619,0.045320521418188084,0.6599999999074104,0.8375209380234506,0.7819525525468111,0.04532052141818248,4.0,5.0,6.0,5.0,9.0,4.0,5.0,5.0,9.0,0.6666442197758419
Nash Bargaining,3517.999999952316,2.9383191610139656,0.8257956448911222,6.404665314401623,3.466346153387657,0.044051464606028184,0.830820770519263,0.6067001675840599,0.02594254937163376,0.8257956448911222,0.17420435510887772,0.7661812297734627,0.7776052664973522,0.22366477898620485,0.7523809523809525,0.0,0.6730769229878945,0.830820770519263,0.7776052664973521,0.0,7.0,6.0,5.0,6.0,10.0,3.0,6.0,6.0,10.0,0.6410856074618682
Maximin,3206.999999666214,3.422512066477792,0.6867671691792295,6.443902439024391,3.0213903725465987,0.04448743265739227,0.695142378559464,1.1276381915138796,-0.03940754039497307,0.6867671691792295,0.3132328308207705,0.644822006472492,0.5844615575508534,0.09573585578956487,0.5547619047619049,0.4460563525441552,0.5866777422420579,0.695142378559464,0.5844615575508532,0.44605635254415466,8.0,9.0,9.0,9.0,8.0,7.0,9.0,9.0,8.0,0.6131249347372857
Healthcare_Provider,2265.899999272823,3.78485875879352,0.2964824120603015,6.45819209039548,2.67333333160196,0.04464620656151549,0.304857621440536,2.704020101720564,0.110951526032316,0.2964824120603015,0.7035175879396985,0.0,0.0,0.0,0.0,0.608504284980495,0.5190938507964971,0.304857621440536,0.0,0.6085042849804951,10.0,10.0,10.0,10.0,4.0,8.0,10.0,10.0,4.0,0.24364390557231344
