Actor/Criterion,Total_cognitive_score,Avg_outcome_difference,Percentage_treated,Mean_outcome_treated,Mean_outcome_control,Cost_effectiveness,Accuracy,Mean_Regret,Demographic_Parity,Percent_A,Percent_C,Demographic_Parity Normalized,Total_cognitive_score Normalized,Avg_outcome_difference Normalized,Percentage_treated Normalized,Mean_outcome_treated Normalized,Mean_outcome_control Normalized,Accuracy Normalized,Mean_Regret Normalized,Cost_effectiveness Normalized,Demographic_Parity Rank,Total_cognitive_score Rank,Avg_outcome_difference Rank,Percentage_treated Rank,Mean_outcome_treated Rank,Mean_outcome_control Rank,Accuracy Rank,Mean_Regret Rank,Cost_effectiveness Rank,Weighted Normalized-Sum
Outcome_Maxim,977.8999999999999,0.0,1.0,6.519333333333332,0.0,0.0456962962998284,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8640504529333244,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0
Kalai-Smorodinsky,977.4,-0.587919463087248,0.9933333333333333,6.512080536912752,7.1,0.04561570967293307,0.9933333333333333,0.0033333333333333335,0.007407407407407418,0.9933333333333333,0.006666666666666667,0.9374999999999999,0.9988063977080801,1.0,0.9903846153846153,0.9640847600818103,1.0,0.9933333333333333,0.9988063977080798,0.9640847600818117,2.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,0.9774115648913118
Policy_Maker,972.6000000476838,1.7183673310442042,0.98,6.518367346938776,4.800000015894572,0.04568556311766667,0.98,0.03533333301544189,0.022222222222222254,0.98,0.02,0.8124999999999998,0.9873478158194772,0.4666979667221926,0.9711538461538461,0.9952165163467508,0.6760563402668411,0.98,0.9873478158194766,0.9952165163467503,8.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,0.9510128664332455
Compromise Programming,957.5000000476839,1.8705985855888319,0.9466666666666667,6.483098591549297,4.612500005960465,0.04529368805778357,0.9533333333333334,0.13599999968210857,-0.014814814814814836,0.9466666666666667,0.05333333333333334,0.8749999999999998,0.9513010266034873,0.43149625729747393,0.923076923076923,0.8205685960170462,0.6496478881634458,0.9533333333333334,0.9513010266034865,0.8205685960170478,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,0.9107072578574403
Nash Bargaining,922.0999998569489,2.5310968335635606,0.8733333333333333,6.46793893129771,3.9368420977341496,0.04512524738832149,0.88,0.37200000095367436,-0.007407407407407418,0.8733333333333333,0.12666666666666668,0.9374999999999999,0.8667939838802133,0.27876370923897986,0.8173076923076923,0.7454992291906161,0.5544848024977675,0.88,0.866793983880213,0.745499229190616,2.0,8.0,7.0,8.0,5.0,6.0,8.0,8.0,5.0,0.8619586426141659
Parent,924.0999998569488,2.537373745321023,0.88,6.465151515151515,3.9277777698304916,0.045094276097808215,0.8866666666666667,0.358666667620341,-0.014814814814814836,0.88,0.12,0.8749999999999998,0.8715683930478939,0.27731224630233287,0.826923076923077,0.731696178086304,0.5532081365958439,0.8866666666666667,0.8715683930478937,0.7316961780863058,4.0,7.0,8.0,7.0,6.0,7.0,7.0,7.0,6.0,0.8503195808935066
Nash Social Welfare,929.2999998092653,2.018177808654463,0.8866666666666667,6.424060150375941,4.405882341721478,0.044637705378079616,0.9,0.3240000012715658,-0.022222222222222143,0.8866666666666667,0.11333333333333333,0.8125000000000007,0.8839818567700337,0.3973702761182337,0.8365384615384616,0.5282151841495565,0.6205468086931659,0.9,0.883981856770033,0.528215184149558,6.0,5.0,5.0,5.0,8.0,4.0,5.0,5.0,8.0,0.8049394081839186
Proportional Fairness,929.2999998092653,2.018177808654463,0.8866666666666667,6.424060150375941,4.405882341721478,0.044637705378079616,0.9,0.3240000012715658,-0.022222222222222143,0.8866666666666667,0.11333333333333333,0.8125000000000007,0.8839818567700337,0.3973702761182337,0.8365384615384616,0.5282151841495565,0.6205468086931659,0.9,0.883981856770033,0.528215184149558,6.0,5.0,5.0,5.0,8.0,4.0,5.0,5.0,8.0,0.8049394081839186
Maximin,867.1999997854232,2.9119675519500245,0.7733333333333333,6.441379310344827,3.529411758394802,0.04483014048884501,0.7866666666666666,0.7380000014305116,0.029629629629629672,0.7733333333333333,0.22666666666666666,0.7499999999999997,0.7357364520566285,0.1906917794823101,0.673076923076923,0.6139782125587092,0.4971002476612398,0.7866666666666666,0.7357364520566284,0.6139782125587095,9.0,9.0,9.0,9.0,7.0,8.0,9.0,9.0,7.0,0.7346095995897343
Healthcare_Provider,559.0000000715256,3.736622072890851,0.30666666666666664,6.317391304347828,2.580769231456977,0.04345249597776724,0.32,2.7926666661898296,-0.11851851851851852,0.30666666666666664,0.6933333333333334,0.0,0.0,0.0,0.0,0.0,0.36348862414887,0.32,0.0,0.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,0.128
