Actor/Criterion,Total_cognitive_score,Avg_outcome_difference,Percentage_treated,Mean_outcome_treated,Mean_outcome_control,Cost_effectiveness,Accuracy,Mean_Regret,Demographic_Parity,Percent_A,Percent_C,Demographic_Parity Normalized,Total_cognitive_score Normalized,Avg_outcome_difference Normalized,Percentage_treated Normalized,Mean_outcome_treated Normalized,Mean_outcome_control Normalized,Accuracy Normalized,Mean_Regret Normalized,Cost_effectiveness Normalized,Demographic_Parity Rank,Total_cognitive_score Rank,Avg_outcome_difference Rank,Percentage_treated Rank,Mean_outcome_treated Rank,Mean_outcome_control Rank,Accuracy Rank,Mean_Regret Rank,Cost_effectiveness Rank,Weighted Normalized-Sum
Outcome_Maxim,3876.1,0.0,1.0,6.492629815745394,0.0,0.04502884795429231,0.9916247906197655,0.0068676716917923,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9916247906197655,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,0.9966499162479063
Policy_Maker,3870.2000000000003,1.6912457912457919,0.9949748743718593,6.491245791245792,4.8,0.04501346990429673,0.9865996649916248,0.016750418760469017,0.0053859964093356805,0.9949748743718593,0.005025125628140704,0.9062500000000007,0.9964931050891377,0.5573594547674584,0.9930875576036866,0.9850258843515023,1.0,0.9865996649916248,0.9964931050891374,0.9850258843515015,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,0.9721936638847779
Compromise Programming,3800.999999952316,1.6753871696317093,0.9463986599664992,6.456637168141593,4.7812499985098835,0.04462892964758341,0.948073701842546,0.1326633166627868,0.0574506283662477,0.9463986599664992,0.05360134003350084,0.0,0.9553613884791526,0.5615100453878338,0.9262672811059908,0.6105863242523086,0.9960937496895591,0.948073701842546,0.9553613884791528,0.6105863242523095,10.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,0.692419023283311
Nash Social Welfare,3509.399999952316,3.219913154198453,0.8224455611390284,6.45010183299389,3.230188678795437,0.04455631481260893,0.8241206030150754,0.6211055277180633,-0.05085278276481142,0.8224455611390284,0.17755443886097153,0.11484375000000036,0.7820375654270311,0.15726967567146496,0.7557603686635944,0.5398788589353838,0.6729559747490493,0.8241206030150754,0.7820375654270311,0.5398788589353842,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,0.6170002760785134
Proportional Fairness,3509.399999952316,3.219913154198453,0.8224455611390284,6.45010183299389,3.230188678795437,0.04455631481260893,0.8241206030150754,0.6211055277180633,-0.05085278276481142,0.8224455611390284,0.17755443886097153,0.11484375000000036,0.7820375654270311,0.15726967567146496,0.7557603686635944,0.5398788589353838,0.6729559747490493,0.8241206030150754,0.7820375654270311,0.5398788589353842,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,0.6170002760785134
Parent,3520.3999999523166,2.9462804520420565,0.8291457286432161,6.400202020202021,3.453921568159964,0.044001872448254827,0.8341708542713567,0.6026800670815473,0.022351885098743196,0.8291457286432161,0.1708542713567839,0.6109375000000008,0.7885758440744022,0.22888607176415943,0.7649769585253456,0.0,0.7195669933666592,0.8341708542713567,0.7885758440744018,0.0,3.0,4.0,5.0,4.0,10.0,4.0,4.0,4.0,10.0,0.6135710105234233
Nash Bargaining,3515.8999999523166,2.934059526125529,0.8257956448911222,6.400405679513185,3.4663461533876565,0.04400413532948999,0.830820770519263,0.6102177555237583,0.02594254937163376,0.8257956448911222,0.17420435510887772,0.5484374999999995,0.7859010937186596,0.23208458811165825,0.76036866359447,0.0022034422650398216,0.7221554486224284,0.830820770519263,0.7859010937186592,0.002203442265040268,4.0,5.0,4.0,5.0,9.0,3.0,5.0,5.0,9.0,0.5996367154044451
Maximin,3248.6999997138973,3.3564660142684066,0.7001675041876047,6.448086124401914,3.091620110133507,0.04453391805047586,0.7085427135678392,1.0577889452028513,-0.053770197486535,0.7001675041876047,0.2998324958123953,0.06406249999999936,0.6270803613426285,0.12153043969092572,0.5875576036866359,0.5180703912539232,0.6440875229444807,0.7085427135678392,0.6270803613426287,0.518070391253921,7.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,0.5252597359464454
Healthcare_Provider,2193.6999994397165,3.820810835024827,0.2730318257956449,6.452147239263804,2.6313364042389775,0.044579041548941316,0.2814070351758794,2.824958124891597,0.055700179533213656,0.2730318257956449,0.7269681742043551,0.030468749999998934,0.0,0.0,0.0,0.5620086334030071,0.5481950842164537,0.2814070351758794,0.0,0.5620086334030093,8.0,9.0,9.0,9.0,4.0,8.0,9.0,9.0,4.0,0.2310582907509534
Kalai-Smorodinsky,2193.6999994397165,3.820810835024827,0.2730318257956449,6.452147239263804,2.6313364042389775,0.044579041548941316,0.2814070351758794,2.824958124891597,0.055700179533213656,0.2730318257956449,0.7269681742043551,0.030468749999998934,0.0,0.0,0.0,0.5620086334030071,0.5481950842164537,0.2814070351758794,0.0,0.5620086334030093,8.0,9.0,9.0,9.0,4.0,8.0,9.0,9.0,4.0,0.2310582907509534
