Actor/Criterion,Total_cognitive_score,Avg_outcome_difference,Percentage_treated,Mean_outcome_treated,Mean_outcome_control,Cost_effectiveness,Accuracy,Mean_Regret,Demographic_Parity,Percent_A,Percent_C,Demographic_Parity Normalized,Total_cognitive_score Normalized,Avg_outcome_difference Normalized,Percentage_treated Normalized,Mean_outcome_treated Normalized,Mean_outcome_control Normalized,Accuracy Normalized,Mean_Regret Normalized,Cost_effectiveness Normalized,Demographic_Parity Rank,Total_cognitive_score Rank,Avg_outcome_difference Rank,Percentage_treated Rank,Mean_outcome_treated Rank,Mean_outcome_control Rank,Accuracy Rank,Mean_Regret Rank,Cost_effectiveness Rank,Weighted Normalized-Sum
Outcome_Maxim,977.8999999999999,0.0,1.0,6.519333333333332,0.0,0.0456962962998284,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0
Policy_Maker,975.4,0.9148648648648647,0.9866666666666667,6.514864864864864,5.6,0.045646646650178764,0.9866666666666667,0.016666666666666666,0.014814814814814836,0.9866666666666667,0.013333333333333334,0.7999999999999997,0.9941493096162501,0.7549656744424423,0.9811320754716981,0.9787461142318482,1.0,0.9866666666666667,0.9941493096162499,0.9787461142318494,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.9492457514362865
Compromise Programming,964.9000000476838,1.5444444364971588,0.96,6.4944444444444445,4.950000007947286,0.04541975308995187,0.9666666666666667,0.08666666634877523,-0.02962962962962956,0.96,0.04,0.600000000000001,0.9695764101160926,0.586341201425302,0.9433962264150942,0.8816181416354417,0.8839285728477296,0.9666666666666667,0.9695764101160922,0.8816181416354412,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,0.8769055770169737
Nash Bargaining,914.6999998569488,2.5668881574210403,0.86,6.457364341085271,3.890476183664231,0.04500775194151662,0.8666666666666667,0.42133333428700764,-0.06666666666666665,0.86,0.14,0.1000000000000002,0.8520945467640172,0.3124933172198576,0.8018867924528301,0.7052498206707924,0.6947278899400413,0.8666666666666667,0.8520945467640171,0.705249820670794,7.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,0.678135540153629
Parent,916.6999998569489,2.5746153917679417,0.8666666666666667,6.454615384615384,3.8799999928474427,0.0449772079807401,0.8733333333333333,0.40800000095367434,-0.07407407407407407,0.8666666666666667,0.13333333333333333,0.0,0.8567750990710176,0.31042368078574023,0.8113207547169812,0.6921746457635762,0.6928571415799005,0.8733333333333333,0.8567750990710171,0.692174645763577,10.0,4.0,5.0,4.0,6.0,4.0,4.0,4.0,6.0,0.6591232823002522
Nash Social Welfare,906.9999998092651,2.617940208418161,0.86,6.413178294573643,3.795238086155482,0.044516795869165196,0.8666666666666667,0.4726666679382325,-0.06666666666666665,0.86,0.14,0.1000000000000002,0.8340744202704736,0.29881970774502303,0.8018867924528301,0.49508269255263837,0.677721086813479,0.8666666666666667,0.8340744202704734,0.49508269255263937,7.0,6.0,6.0,5.0,7.0,5.0,5.0,6.0,7.0,0.6324980892312893
Proportional Fairness,906.9999998092651,2.617940208418161,0.86,6.413178294573643,3.795238086155482,0.044516795869165196,0.8666666666666667,0.4726666679382325,-0.06666666666666665,0.86,0.14,0.1000000000000002,0.8340744202704736,0.29881970774502303,0.8018867924528301,0.49508269255263837,0.677721086813479,0.8666666666666667,0.8340744202704734,0.49508269255263937,7.0,6.0,6.0,5.0,7.0,5.0,5.0,6.0,7.0,0.6324980892312893
Maximin,851.099999833107,3.108975568301695,0.7466666666666667,6.461607142857142,3.352631574555447,0.04505489418342629,0.76,0.8453333344459534,0.059259259259259345,0.7466666666666667,0.25333333333333335,0.19999999999999885,0.7032529833456167,0.16730245000035382,0.6415094339622642,0.7254303422147154,0.5986842097420442,0.76,0.7032529833456167,0.725430342214716,6.0,8.0,8.0,8.0,4.0,7.0,8.0,8.0,4.0,0.6297366651120664
Healthcare_Provider,550.6000001668931,3.7336192094032414,0.29333333333333333,6.309090909090911,2.57547169968767,0.04336026936380151,0.30666666666666664,2.8486666655540467,-0.029629629629629617,0.29333333333333333,0.7066666666666667,0.6000000000000001,0.0,0.0,0.0,0.0,0.4599056606585125,0.30666666666666664,0.0,0.0,4.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,0.2426666666666667
Kalai-Smorodinsky,550.6000001668931,3.7336192094032414,0.29333333333333333,6.309090909090911,2.57547169968767,0.04336026936380151,0.30666666666666664,2.8486666655540467,-0.029629629629629617,0.29333333333333333,0.7066666666666667,0.6000000000000001,0.0,0.0,0.0,0.0,0.4599056606585125,0.30666666666666664,0.0,0.0,4.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,0.2426666666666667
