Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Equal_Opportunity Normalized,Conditional_Outcome_Parity Normalized,Total_Profit Normalized,Accuracy Normalized,Unexploited_Profit Normalized,Total_Loss Normalized,Demographic_Parity Rank,Equal_Opportunity Rank,Conditional_Outcome_Parity Rank,Total_Profit Rank,Accuracy Rank,Unexploited_Profit Rank,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.779760019045077,0.006821203641387128,0.0,1.0,1.0,1.0,1.0,-0.08057105349524118,0.0,0.0,0.8206214689265536,0.009887005649717515,0.1694915254237288,2124.0,2001.3000000000002,2103.0,0.5159154929577466,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9031830985915493
Bank,0.5574197926821803,0.1226907236081548,0.20922479166695016,0.3461483000394348,0.3543602983362019,0.3453676748596766,0.666195856873823,-0.06391141950708734,-0.022325915290739462,-0.03455044451459821,0.7339924670433146,0.002824858757062147,0.2631826741996234,1497.7,1543.8000000000002,1635.4,0.6160093896713617,0.8921860916591553,0.5566868711593893,0.694681780124523,0.666195856873823,0.24385259680678228,0.10677452134940066,2.0,2.0,8.0,3.0,2.0,7.0,10.0,0.639953950940584
Compromise Programming,0.46605769752177284,0.10231148415185112,0.20873577808403387,0.34860917142415987,0.3606314145470772,0.3282209508378202,0.5748587570621468,0.02468470158000846,0.04758076094759511,-0.05480441872424635,0.6257062146892656,0.1167608286252354,0.2575329566854991,1461.8000000000002,1489.1,1601.1999999999998,0.8516901408450703,0.770228107883242,0.29681025294272867,0.5692230958604303,0.5748587570621468,0.24561991294509616,0.2638758532882305,1.0,3.0,10.0,5.0,5.0,5.0,8.0,0.5734882007545046
Outcome_Pred_Model,0.5217925322469871,0.11083319110842046,0.20922479166695016,0.3474971525316877,0.3409734174794416,0.3382783632659179,0.6332391713747646,-0.09767609045587389,-0.07217516152189518,-0.04867719832508566,0.6911487758945386,0.04566854990583804,0.2631826741996234,1483.7,1518.1,1619.9,0.4131455399061029,0.6514594744505304,0.37542797507073966,0.645758326581937,0.6332391713747646,0.24385259680678228,0.19818294477022746,4.0,4.0,9.0,4.0,4.0,7.0,9.0,0.5401620368616618
Regulatory,0.5875538511895323,0.13654155167916635,0.1636280493973685,0.33136613710991625,0.32638171734557275,0.3275736153360103,0.6624293785310734,0.12152468470157995,0.1255994256999282,-0.07793688539059829,0.7598870056497176,0.02495291902071563,0.21516007532956685,1516.5,1589.9,1649.7,0.2698591549295777,0.39346876516674756,0.0,0.736061953436353,0.6624293785310734,0.4086411860868587,0.0,7.0,5.0,11.0,2.0,3.0,2.0,11.0,0.4661559730856155
Nash Social Welfare,0.07504383879056056,0.014482764272672529,0.21017080705748775,0.3642677198055378,0.3637311149359342,0.21932492170609438,0.2645951035781544,0.11865691468579553,0.15819095477386938,-0.007330704742946836,0.2339924670433145,0.5018832391713748,0.2641242937853107,1329.2,1268.8,1468.4,0.2870892018779343,0.2360812591000484,0.9059404965157722,0.032281772882730354,0.2645951035781544,0.24043365646402168,0.9409378655918031,5.0,6.0,3.0,6.0,6.0,9.0,6.0,0.35090033568654916
Proportional Fairness,0.07504383879056056,0.014482764272672529,0.21017080705748775,0.3642677198055378,0.3637311149359342,0.21932492170609438,0.2645951035781544,0.11865691468579553,0.15819095477386938,-0.007330704742946836,0.2339924670433145,0.5018832391713748,0.2641242937853107,1329.2,1268.8,1468.4,0.2870892018779343,0.2360812591000484,0.9059404965157722,0.032281772882730354,0.2645951035781544,0.24043365646402168,0.9409378655918031,5.0,6.0,3.0,6.0,6.0,9.0,6.0,0.35090033568654916
Maximin,0.060052682477428954,0.0109624864349635,0.27669841988928595,0.36835767700703453,0.3546089118378275,0.2174985111447456,0.2542372881355932,0.12673668088830545,0.1662167982770998,-0.0019746465138956726,0.20386064030131826,0.4693973634651601,0.3267419962335217,1296.5,1213.3000000000002,1460.4,0.2385446009389669,0.19732371905983503,0.9746635177426031,0.011695875160696874,0.2542372881355932,0.0,0.968075303094544,8.0,8.0,2.0,10.0,8.0,11.0,3.0,0.3466757140226907
Nash Bargaining,0.0684449181387055,0.01413981438843824,0.20898109436495194,0.36075911405565053,0.35502486135016253,0.21017634931813844,0.24858757062146894,0.16220482285464233,0.20189519023689878,-0.01331699346405224,0.2193973634651601,0.5207156308851224,0.2598870056497175,1324.8000000000002,1263.7,1464.0,0.025446009389671342,0.02502946682382312,0.829131053963587,0.023220116611698833,0.24858757062146894,0.2447333293461865,0.9435816288056854,9.0,10.0,6.0,8.0,9.0,6.0,5.0,0.27499446424157903
Applicant,0.051535458933409495,0.010860730467152484,0.20410647401929963,0.367492039550863,0.3712102377765028,0.1964703147101882,0.2184557438794727,0.166440058136809,0.20707824838478106,-0.009852216748768461,0.18361581920903955,0.576271186440678,0.2401129943502825,1333.8000000000002,1261.4,1461.9,0.0,0.0,0.8735872405037506,0.0,0.2184557438794727,0.26235041710405216,0.9688597287405604,11.0,11.0,5.0,11.0,11.0,3.0,2.0,0.26209974565253924
