Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Equal_Opportunity Normalized,Conditional_Outcome_Parity Normalized,Total_Profit Normalized,Accuracy Normalized,Unexploited_Profit Normalized,Total_Loss Normalized,Demographic_Parity Rank,Equal_Opportunity Rank,Conditional_Outcome_Parity Rank,Total_Profit Rank,Accuracy Rank,Unexploited_Profit Rank,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.8063006935264503,0.009261888678398722,0.0,1.0,1.0,1.0,1.0,0.005328441649196325,0.0,0.0,0.8383458646616542,0.013157894736842105,0.14849624060150377,532.0,505.3,528.8,0.9767086674303171,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9953417334860635
Regulatory,0.598630665132446,0.12154456852285757,0.18040480704710166,0.34080645161290324,0.3454428487635049,0.33860104733178836,0.6766917293233082,0.07896575821104124,0.08333075375328891,0.009324009324009341,0.7518796992481203,0.015037593984962405,0.23308270676691728,386.4,398.4,418.7,0.6548300878197785,0.6238647477993575,0.7250612635228013,0.7282716478990481,0.6766917293233082,0.4553504972932497,0.0,7.0,7.0,2.0,2.0,2.0,2.0,11.0,0.6923092915776489
Compromise Programming,0.4695036558107842,0.09189142031008525,0.2505056940776631,0.3452691534064884,0.3291706874042118,0.3241580963904013,0.5921052631578947,-0.10936408106219431,-0.10716607336325645,0.011888794049506157,0.6334586466165414,0.08646616541353383,0.2800751879699248,365.2,369.9,402.09999999999997,0.5219549446353569,0.5162777700153696,0.6494329959761003,0.5593138559343389,0.5921052631578947,0.24371304768510876,0.26409369863499654,9.0,9.0,6.0,5.0,5.0,5.0,8.0,0.5829824645723171
Bank,0.5372191471001889,0.10631449723316218,0.25224324815037646,0.34694005948295586,0.3622731830996575,0.342961715224489,0.6578947368421053,-0.2129629629629629,-0.21392973223959133,0.009867707655606073,0.706766917293233,0.0018796992481203006,0.29135338345864664,370.6,377.6,407.6,0.06911034746086309,0.03437194355176765,0.7090291332321285,0.6479170068178467,0.6578947368421053,0.2384673007611793,0.13564043279687535,10.0,10.0,3.0,3.0,3.0,7.0,10.0,0.5483691922390098
Outcome_Pred_Model,0.5170759649246082,0.10531743855625904,0.25224324815037646,0.34611214787167865,0.3533045732341867,0.3372564349078564,0.6353383458646616,-0.22877358490566035,-0.221544652530568,0.02247393024092048,0.6823308270676691,0.02631578947368421,0.29135338345864664,368.20000000000005,373.2,404.79999999999995,0.0,0.0,0.33730718520362646,0.6215604172754443,0.6353383458646616,0.2384673007611793,0.1445203301976528,11.0,11.0,9.0,4.0,4.0,7.0,9.0,0.44590885884167886
Nash Social Welfare,0.06519600753014634,0.014187444538611097,0.25224324815037646,0.3642262122425426,0.3801036336655341,0.2017331469272994,0.231203007518797,-0.005852550663871442,-0.005014703606252918,0.011111111111111183,0.18984962406015038,0.518796992481203,0.29135338345864664,326.4,305.3,364.20000000000005,0.9744177166857578,0.9773648176610311,0.6723646723646701,0.030292639638878197,0.231203007518797,0.2384673007611793,0.9561325409490087,3.0,4.0,4.0,6.0,6.0,7.0,4.0,0.42789620874538004
Proportional Fairness,0.06519600753014634,0.014187444538611097,0.25224324815037646,0.3642262122425426,0.3801036336655341,0.2017331469272994,0.231203007518797,-0.005852550663871442,-0.005014703606252918,0.011111111111111183,0.18984962406015038,0.518796992481203,0.29135338345864664,326.4,305.3,364.20000000000005,0.9744177166857578,0.9773648176610311,0.6723646723646701,0.030292639638878197,0.231203007518797,0.2384673007611793,0.9561325409490087,3.0,4.0,4.0,6.0,6.0,7.0,4.0,0.42789620874538004
Maximin,0.048658976017739504,0.0121014644299317,0.331231013983382,0.3589027530204001,0.349579816032674,0.19361159249953527,0.2199248120300752,-0.0031446540880503138,-0.0016406129082185417,0.01388888888888884,0.16917293233082706,0.4793233082706767,0.35150375939849626,314.70000000000005,290.6,359.4,0.9862542955326461,0.9925946625681151,0.5904558404558418,0.008654561403619672,0.2199248120300752,0.0,0.9747104739977125,1.0,2.0,7.0,10.0,8.0,11.0,2.0,0.4050428642904516
Kalai-Smorodinsky,0.05395032546597034,0.014757637469465078,0.25030223239450816,0.355785145052101,0.36766299867281865,0.18821382529584296,0.20864661654135339,0.029350104821802947,0.025971211886704842,-0.014285714285714346,0.17105263157894737,0.5451127819548872,0.28383458646616544,325.6,303.40000000000003,362.7,0.8717067583046963,0.8827721112197848,0.5787545787545767,0.01557809137603411,0.20864661654135339,0.24432730684130344,0.951054349622939,6.0,6.0,8.0,9.0,10.0,4.0,6.0,0.3766665323036028
Nash Bargaining,0.05770939363614928,0.014757637469465078,0.2511207637339855,0.35646068306630857,0.36990515113918643,0.1908267581075013,0.21428571428571427,0.010656883298392733,0.003714595263891035,-0.02837837837837842,0.17669172932330826,0.5357142857142857,0.287593984962406,324.6,303.1,362.40000000000003,0.9534173348606338,0.9832331982674305,0.16320166320166152,0.020496689438629426,0.21428571428571427,0.24185612719651808,0.951054349622939,5.0,3.0,10.0,8.0,9.0,6.0,6.0,0.3131374232144707
