Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Equal_Opportunity Normalized,Conditional_Outcome_Parity Normalized,Total_Profit Normalized,Accuracy Normalized,Unexploited_Profit Normalized,Total_Loss Normalized,Demographic_Parity Rank,Equal_Opportunity Rank,Conditional_Outcome_Parity Rank,Total_Profit Rank,Accuracy Rank,Unexploited_Profit Rank,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.8063006935264503,0.009261888678398722,0.0,1.0,1.0,1.0,1.0,0.005328441649196325,0.0,0.0,0.8383458646616542,0.013157894736842105,0.14849624060150377,528.5,455.0,528.8,0.9732573432704956,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9946514686540991
Regulatory,0.7401420144639664,0.15258425145819832,0.049865737826832165,0.36802150537634404,0.3498987720194509,0.34658210007047213,0.8101503759398496,0.0290006988120195,0.02337099520198116,0.00019425019425023393,0.9398496240601504,0.0018796992481203006,0.05827067669172932,436.7,466.8,448.0,0.8544498027181064,0.8818651228289781,0.9958074333074325,0.9129290598503229,0.8101503759398496,0.883003258994282,0.0,2.0,2.0,2.0,2.0,2.0,7.0,11.0,0.8766974095511122
Bank,0.6962996110837869,0.14212136696744604,0.09370814120701176,0.36228902009900404,0.35433577415753725,0.3533733905579399,0.7951127819548872,-0.1122466806429071,-0.09750812567713973,0.02133982396060341,0.9135338345864662,0.0,0.08646616541353383,428.4,453.4,441.7,0.43665059184568134,0.5071193866374593,0.5394154661836421,0.8552284023579287,0.7951127819548872,0.7801386762791537,0.0730024560565433,6.0,6.0,6.0,3.0,3.0,8.0,10.0,0.6843040048594053
Compromise Programming,0.5260087032963445,0.10611196968941622,0.009226130847337598,0.3947296930182016,0.2685285046640556,0.28703130374957,0.6578947368421053,-0.07005590496156544,-0.08289738430583504,-0.008253794398372816,0.768796992481203,0.2199248120300752,0.011278195488721804,391.80000000000007,463.9,431.79999999999995,0.6483998246383159,0.580973243623846,0.8218556042351197,0.6311098188234724,0.6578947368421053,0.9783533285924831,0.32425003933393204,4.0,4.0,3.0,5.0,5.0,3.0,8.0,0.6834309442762238
Outcome_Pred_Model,0.6019073730948918,0.1326306146866743,0.18577148203940066,0.3355326651818857,0.33811091559289325,0.3368164622934308,0.7368421052631579,-0.1992487770789657,-0.19783315276273028,0.00868468468468464,0.8439849624060151,0.005639097744360902,0.15037593984962405,401.70000000000005,420.1,424.8,0.0,0.0,0.8125555555555561,0.7309994875580601,0.7368421052631579,0.5641364408185499,0.13922207521920893,11.0,11.0,4.0,4.0,4.0,9.0,9.0,0.6034478507279863
Kalai-Smorodinsky,0.09825320900565483,0.01800903709058278,0.4262147594726173,0.36439859243168554,0.41872704125073995,0.2576121295601413,0.33270676691729323,0.11783717679944095,0.1113759479956663,-0.020215337288507995,0.2857142857142857,0.33458646616541354,0.37969924812030076,267.5,269.70000000000005,376.9,0.4085927224901358,0.4370208105147866,0.5636856368563683,0.06814402854667566,0.33270676691729323,0.0,0.9389687119125774,7.0,7.0,5.0,9.0,7.0,10.0,3.0,0.34116718434555326
Nash Social Welfare,0.09854339156435407,0.02024959494491251,0.030540502679614098,0.38364282649996934,0.35063804712439556,0.1811115953216443,0.2575187969924812,0.12962962962962965,0.12264355362946916,-0.02369995398067193,0.27631578947368424,0.6954887218045113,0.02819548872180451,262.8,397.1,389.70000000000005,0.3494081543182812,0.38006571741511497,0.4884759932504965,0.06852593563065959,0.2575187969924812,0.9283448027060259,0.9233357163990151,8.0,9.0,7.0,7.0,8.0,5.0,5.0,0.28428953543687996
Proportional Fairness,0.09854339156435407,0.02024959494491251,0.030540502679614098,0.38364282649996934,0.35063804712439556,0.1811115953216443,0.2575187969924812,0.12962962962962965,0.12264355362946916,-0.02369995398067193,0.27631578947368424,0.6954887218045113,0.02819548872180451,262.8,397.1,389.70000000000005,0.3494081543182812,0.38006571741511497,0.4884759932504965,0.06852593563065959,0.2575187969924812,0.9283448027060259,0.9233357163990151,8.0,9.0,7.0,7.0,8.0,5.0,5.0,0.28428953543687996
Nash Bargaining,0.10209501158247546,0.019006095767485916,0.4262147594726173,0.3635155955913894,0.4209691937171076,0.2601955130003532,0.3383458646616541,0.13163871418588396,0.11673115616777585,-0.03889689236468408,0.2932330827067669,0.32706766917293234,0.37969924812030076,269.20000000000005,270.7,377.69999999999993,0.3393248575186322,0.40995149428884403,0.16047540646223368,0.07320019603631515,0.3383458646616541,0.0,0.9320119561239848,10.0,8.0,9.0,6.0,6.0,10.0,4.0,0.24993843786809786
Applicant,0.04647567097868118,0.01721791340545391,0.0,0.27431679606965825,0.2896647448216955,0.09397114578925973,0.13909774436090225,0.06673654786862335,0.054140225971211875,-0.03997194950911642,0.15977443609022557,0.8402255639097744,0.0,230.3,391.29999999999995,377.9,0.6650591845681717,0.7263339070567987,0.1372720897615688,0.0,0.13909774436090225,1.0,0.9444886019687044,3.0,3.0,10.0,11.0,11.0,1.0,2.0,0.21610535261030903
Maximin,0.0823961714499028,0.022144006431028464,0.025634656915797457,0.36914381914381916,0.3359552596653124,0.1612903734246247,0.22932330827067668,0.1114605171208945,0.09305061136047052,-0.04633204633204624,0.25375939849624063,0.7236842105263158,0.022556390977443608,254.60000000000002,395.59999999999997,386.20000000000005,0.4405962297238051,0.5296510718197467,0.0,0.047274700628806086,0.22932330827067668,0.9398550699006368,0.9101178804006894,5.0,5.0,11.0,10.0,10.0,4.0,7.0,0.18930350937879292
