Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Equal_Opportunity Normalized,Conditional_Outcome_Parity Normalized,Total_Profit Normalized,Accuracy Normalized,Unexploited_Profit Normalized,Total_Loss Normalized,Demographic_Parity Rank,Equal_Opportunity Rank,Conditional_Outcome_Parity Rank,Total_Profit Rank,Accuracy Rank,Unexploited_Profit Rank,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.779760019045077,0.006821203641387129,0.0,1.0,1.0,1.0,1.0,-0.08057105349524118,0.0,0.0,0.8206214689265536,0.009887005649717515,0.1694915254237288,2124.0,2001.3,2103.0,0.6153329602686068,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9230665920537214
Bank,0.7046694305443748,0.14626088020583433,0.06306935254843597,0.4071988440219487,0.3774941033977179,0.38166167503035675,0.8027306967984934,-0.0767890352727898,-0.044020100502512594,-0.05169122599510456,0.9129001883239172,0.0,0.08709981167608287,1730.0,1808.3000000000002,1776.5,0.6333892930423428,0.8161319340329833,0.4582451497766855,0.8964049169143504,0.8027306967984934,0.7723145604572234,0.09715607939475335,2.0,2.0,5.0,3.0,2.0,4.0,10.0,0.7187001506660732
Outcome_Pred_Model,0.6396075479207968,0.12151857564701601,0.12148440268126678,0.40080657670234215,0.3930420093070695,0.39617853410956866,0.775894538606403,-0.10043446325034766,-0.07735821966977752,-0.057153446997776136,0.8469868173258004,0.00847457627118644,0.1445386064030132,1692.4,1745.2,1761.4,0.5204999067338187,0.6768815592203896,0.4009978188375968,0.8066454507725274,0.775894538606403,0.5614315272884179,0.25735753570240666,4.0,4.0,6.0,4.0,4.0,5.0,9.0,0.6559864507113498
Regulatory,0.7258049732088703,0.16126614521109933,0.04096277097705647,0.37809375180625393,0.3553324408746095,0.3529324633003563,0.7951977401129944,0.06475534092862623,0.04890165111270639,-0.09541442217600293,0.92984934086629,0.0014124293785310734,0.0687382297551789,1719.3000000000002,1822.1000000000001,1776.9,0.690841260958776,0.7957421289355322,0.0,0.9255635417447874,0.7951977401129944,0.8521210994256119,0.0,1.0,3.0,11.0,2.0,3.0,2.0,11.0,0.6413600565859104
Compromise Programming,0.5023822152038679,0.09223258764543169,0.19178024670062724,0.38538043897521024,0.3653008860840186,0.3740177867837442,0.6840866290018832,0.17013612139965928,0.1720603015075376,-0.09201796624550074,0.7283427495291902,0.08097928436911488,0.1906779661016949,1618.4,1658.6999999999998,1723.1000000000001,0.18772617049058038,0.2813193403298355,0.03559688203358857,0.6173291858702592,0.6840866290018832,0.3076578718305349,0.4469784303975265,7.0,7.0,10.0,5.0,5.0,8.0,8.0,0.4417650992796389
Nash Bargaining,0.18438989701170488,0.03970522475293117,0.20167950782478158,0.3821895078648188,0.3667096959265634,0.2846363954921706,0.3714689265536723,0.11002234828949631,0.14254127781765974,-0.031163545547043925,0.3662900188323917,0.4354990583804143,0.19821092278719396,1478.5,1419.8,1573.8,0.47472486476403664,0.4046176911544228,0.6733874729172582,0.17862652976566093,0.3714689265536723,0.27192074231948055,0.7870825630329816,5.0,5.0,2.0,6.0,6.0,9.0,7.0,0.4139353441108601
Kalai-Smorodinsky,0.1825790565070806,0.039157793012838886,0.20167950782478158,0.38235727886310356,0.3651797666857908,0.2831464062086802,0.3677024482109228,0.11327300857986783,0.14470926058865757,-0.033241758241758235,0.3615819209039548,0.4402071563088512,0.19821092278719396,1476.9,1417.3999999999999,1572.3,0.4592053721320648,0.39556221889055476,0.6516065655101912,0.17612829162054824,0.3677024482109228,0.27192074231948055,0.7906270736820739,6.0,6.0,3.0,7.0,7.0,9.0,6.0,0.40446902513693006
Applicant,0.05491298708102765,0.011892721411987467,0.05466803021472031,0.4226871910777222,0.3249043794224517,0.1892904128513134,0.20574387947269304,0.19216403331926796,0.22558506819813354,-0.033524045862916796,0.2024482109227872,0.736346516007533,0.06120527306967985,1487.9,1417.9,1525.6,0.08255922402536864,0.057751124437781076,0.6486480230307551,0.0,0.20574387947269304,0.8026440103564206,0.9671629402746662,8.0,8.0,4.0,11.0,11.0,3.0,2.0,0.22853900120030196
Nash Social Welfare,0.08870827511018285,0.015136810276259818,0.18176889983940678,0.39726966055239304,0.34190890546312236,0.26369271734435396,0.314030131826742,0.20713582446434434,0.23941134242641782,-0.05716869763899468,0.288135593220339,0.5254237288135594,0.1864406779661017,1468.9,1399.1,1561.3,0.011080022383883614,0.0,0.40083798303006635,0.04662402760701566,0.314030131826742,0.34379963987487333,0.946158115957982,9.0,10.0,7.0,8.0,8.0,6.0,4.0,0.21732045933488994
Proportional Fairness,0.08870827511018285,0.015136810276259818,0.18176889983940678,0.39726966055239304,0.34190890546312236,0.26369271734435396,0.314030131826742,0.20713582446434434,0.23941134242641782,-0.05716869763899468,0.288135593220339,0.5254237288135594,0.1864406779661017,1468.9,1399.1,1561.3,0.011080022383883614,0.0,0.40083798303006635,0.04662402760701566,0.314030131826742,0.34379963987487333,0.946158115957982,9.0,10.0,7.0,8.0,8.0,6.0,4.0,0.21732045933488994
Maximin,0.06949378418209187,0.012542949884234288,0.2770021336238621,0.39279246614506613,0.3709934978007267,0.2571059647895472,0.2951977401129944,0.2094566083735759,0.23609475951184494,-0.07094764345291926,0.2387005649717514,0.4806967984934087,0.2806026365348399,1407.1,1308.9,1538.0,0.0,0.013853073463268362,0.25642642029474194,0.02011568849437931,0.2951977401129944,0.0,0.9629528414158872,11.0,9.0,9.0,10.0,10.0,11.0,3.0,0.173387517803022
