Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Equal_Opportunity Normalized,Conditional_Outcome_Parity Normalized,Total_Profit Normalized,Accuracy Normalized,Unexploited_Profit Normalized,Total_Loss Normalized,Demographic_Parity Rank,Equal_Opportunity Rank,Conditional_Outcome_Parity Rank,Total_Profit Rank,Accuracy Rank,Unexploited_Profit Rank,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.8063006935264503,0.009261888678398722,0.0,1.0,1.0,1.0,1.0,0.005328441649196325,0.0,0.0,0.8383458646616542,0.013157894736842105,0.14849624060150377,528.5,455.0,528.8,0.9716279069767444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.994325581395349
Regulatory,0.7339666933609157,0.1507272296724662,0.05604105892988296,0.3620002747630169,0.34642674689220637,0.34138146585403967,0.8101503759398496,0.024283717679944083,0.02055409379353046,0.0019327406262079627,0.943609022556391,0.0018796992481203006,0.05451127819548872,436.5,468.3,447.5,0.8706976744186047,0.8794480755265066,0.9681097796675686,0.9049857448868404,0.8101503759398496,0.8220993018598673,0.0,2.0,2.0,2.0,2.0,2.0,7.0,11.0,0.8728187901705426
Compromise Programming,0.5410915640381319,0.11295890498030808,0.011367532432182088,0.3983063031976075,0.31988447306038265,0.29493192625887565,0.6691729323308271,-0.08184835779175403,-0.0831759789506269,0.005510809665112304,0.7781954887218046,0.21052631578947367,0.011278195488721804,395.0,465.29999999999995,433.1,0.5641860465116277,0.5121641249092228,0.909071640525647,0.6516348075610975,0.6691729323308271,0.9639141016527538,0.26697934933576406,4.0,5.0,3.0,5.0,5.0,3.0,8.0,0.6926476718520054
Bank,0.6961687076877335,0.14550201904382074,0.09383904460306515,0.35306122448979593,0.3473917239030482,0.34445857173129896,0.7951127819548872,-0.11006289308176098,-0.08933601609657948,0.026666666666666727,0.9210526315789473,0.0,0.07894736842105263,428.2,456.4,440.9,0.413953488372093,0.4760348583877997,0.5599999999999994,0.8553362378044647,0.7951127819548872,0.7021107047856564,0.03693633077846681,8.0,8.0,4.0,3.0,3.0,8.0,10.0,0.6839030580172664
Outcome_Pred_Model,0.6095656505117805,0.13312914402512588,0.178113204622512,0.33971610376896716,0.34184783637017274,0.34072150072150076,0.7462406015037594,-0.1878057302585604,-0.17049992261259872,0.027151211361737704,0.8533834586466166,0.005639097744360902,0.14097744360902256,406.3,425.1,427.4,0.0,0.0,0.5520050125313283,0.7415788768225644,0.7462406015037594,0.43458485518686546,0.12439856662896906,11.0,11.0,5.0,4.0,4.0,9.0,9.0,0.5572130184722823
Nash Bargaining,0.10986477859539993,0.01800903709058278,0.3150131478727495,0.36318226120857705,0.3698537938192817,0.24922260187091125,0.3233082706766917,0.09896925227113906,0.0888407367280607,-0.028694404591104727,0.3007518796992481,0.42857142857142855,0.2706766917293233,270.70000000000005,311.6,381.70000000000005,0.4730232558139533,0.4789397240377633,0.5265423242467724,0.08519728564998436,0.3233082706766917,0.0,0.9381675514955223,6.0,7.0,6.0,6.0,6.0,10.0,3.0,0.34627588141281873
Kalai-Smorodinsky,0.10834895920796878,0.01800903709058278,0.3150131478727495,0.36290105401603306,0.36910640966382574,0.2483391823812063,0.32142857142857145,0.08970999301187976,0.0778517257390497,-0.032352941176470584,0.29887218045112784,0.43045112781954886,0.2706766917293233,270.20000000000005,311.4,381.4,0.5223255813953489,0.5433914306463327,0.46617647058823586,0.08320618257738695,0.32142857142857145,0.0,0.9381675514955223,5.0,4.0,9.0,7.0,7.0,10.0,3.0,0.34291307548362293
Nash Social Welfare,0.09347969579711111,0.02024959494491251,0.03287327753715303,0.3649173049173049,0.3434291012198715,0.17058225702746985,0.24812030075187969,0.11582809224318658,0.10629933446834855,-0.028846153846153855,0.26879699248120303,0.7048872180451128,0.02631578947368421,259.90000000000003,396.79999999999995,387.9,0.3832558139534883,0.37654320987654344,0.5240384615384619,0.06367467617886262,0.24812030075187969,0.895644744484023,0.9223293409586835,9.0,9.0,7.0,8.0,8.0,5.0,5.0,0.2934419106349144
Proportional Fairness,0.09347969579711111,0.02024959494491251,0.03287327753715303,0.3649173049173049,0.3434291012198715,0.17058225702746985,0.24812030075187969,0.11582809224318658,0.10629933446834855,-0.028846153846153855,0.26879699248120303,0.7048872180451128,0.02631578947368421,259.90000000000003,396.79999999999995,387.9,0.3832558139534883,0.37654320987654344,0.5240384615384619,0.06367467617886262,0.24812030075187969,0.895644744484023,0.9223293409586835,9.0,9.0,7.0,8.0,8.0,5.0,5.0,0.2934419106349144
Maximin,0.08073978350291766,0.022144006431028464,0.02530078002726062,0.3619426206009244,0.33446049135440065,0.1591788681592967,0.22556390977443608,0.10455974842767293,0.08487850177991021,-0.05011454753722788,0.25,0.7255639097744361,0.02443609022556391,253.0,394.3,385.30000000000007,0.44325581395348834,0.502178649237473,0.17310996563574077,0.04694017685531302,0.22556390977443608,0.9196834157618051,0.9089379938428173,7.0,6.0,10.0,10.0,10.0,4.0,7.0,0.22288675519868287
Applicant,0.04500440088713402,0.01647011939777656,0.0,0.27606142728093946,0.2881699765107837,0.09188990562075901,0.13533834586466165,0.062194269741439545,0.0459681163906516,-0.06060606060606066,0.15413533834586465,0.8458646616541353,0.0,229.2,390.9,377.5,0.6688372093023256,0.7303921568627452,0.0,0.0,0.13533834586466165,1.0,0.9490459594645155,3.0,3.0,11.0,11.0,11.0,1.0,2.0,0.18790278020632978
