Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Equal_Opportunity Normalized,Conditional_Outcome_Parity Normalized,Total_Profit Normalized,Accuracy Normalized,Unexploited_Profit Normalized,Total_Loss Normalized,Demographic_Parity Rank,Equal_Opportunity Rank,Conditional_Outcome_Parity Rank,Total_Profit Rank,Accuracy Rank,Unexploited_Profit Rank,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.779760019045077,0.006821203641387129,0.0,1.0,1.0,1.0,1.0,-0.08057105349524118,0.0,0.0,0.8206214689265536,0.009887005649717515,0.1694915254237288,2113.5,1782.1999999999998,2103.0,0.5818565229733568,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9163713045946714
Bank,0.6970941320332311,0.14167050405582515,0.07064465105957954,0.40689016872550937,0.38075476509211453,0.38537931346988846,0.7999058380414312,-0.06656039508025069,-0.035405599425699985,-0.05333603529380504,0.9048964218455744,0.0,0.0951035781544256,1724.3,1797.1999999999998,1776.0,0.6545683117725778,0.8411389550988853,0.45078877069865986,0.8863689631700924,0.7999058380414312,0.819227221487496,0.1167677630305938,3.0,3.0,9.0,3.0,2.0,8.0,10.0,0.7183075443448386
Outcome_Pred_Model,0.6327392773137112,0.12075297625756341,0.1289511050679384,0.3955403497261525,0.38908650474915535,0.39175302798800365,0.769774011299435,-0.09345648334818013,-0.0658865757358219,-0.05310475415479954,0.8436911487758946,0.008945386064030132,0.14736346516007534,1675.5,1698.0,1752.7,0.5149843870392147,0.7043741544804485,0.4531703162703866,0.7979079409618721,0.769774011299435,0.6700266870066439,0.2537728109792918,5.0,5.0,8.0,4.0,4.0,9.0,9.0,0.6611221333740687
Compromise Programming,0.5334144669552009,0.10223170177206875,0.013179549229409298,0.46466164765610235,0.4440300886084019,0.3235118331362779,0.6709039548022598,0.005462046978292445,0.017444364680545554,-0.07257742035811077,0.7641242937853108,0.2175141242937853,0.018361581920903956,1561.1000000000001,1843.3,1724.1,0.9716533517174258,0.921729047220254,0.2526565944614205,0.6613778486596611,0.6709039548022598,0.9662748177249355,0.3750829449219396,1.0,2.0,10.0,5.0,5.0,3.0,8.0,0.6454991408886055
Regulatory,0.7247845383453121,0.1594982627092719,0.041983205840614664,0.3804889498158019,0.35680181041626824,0.3550102461399862,0.7951977401129944,0.057660149717911446,0.039612347451543406,-0.09711388341723204,0.9289077212806026,0.0009416195856873823,0.07015065913370998,1715.7,1834.4,1776.6999999999998,0.7007583438095624,0.8222637376795723,0.0,0.9244316960968231,0.7951977401129944,0.8925690670583167,0.0,2.0,4.0,11.0,2.0,3.0,7.0,11.0,0.6431171040264749
Nash Bargaining,0.10262786160420231,0.01861203383772191,0.3907925277294615,0.3764604404335434,0.3717265888952636,0.2850394639035628,0.3766478342749529,0.1719880600747027,0.20275664034458002,-0.04838958832161888,0.3286252354048964,0.3210922787193974,0.3502824858757062,1142.8000000000002,1145.1,1543.1,0.10742528083052827,0.09025317271146027,0.5017232694348978,0.06922635318903683,0.3766478342749529,0.0,0.922772744849033,7.0,7.0,3.0,6.0,6.0,10.0,4.0,0.28633411440087375
Kalai-Smorodinsky,0.10018515085582017,0.017349720648803215,0.3907925277294615,0.3772383052072535,0.3692404538790081,0.2825090480062499,0.3705273069679849,0.17391813962211078,0.2049389806173726,-0.0488555006554402,0.3206214689265537,0.3290960451977401,0.3502824858757062,1135.2,1141.5,1540.5,0.09740865404112065,0.08046125104683344,0.4969256821340212,0.06586864706565793,0.3705273069679849,0.0,0.9310406090365233,8.0,8.0,4.0,9.0,7.0,10.0,3.0,0.2802515194353539
Applicant,0.05226611141148687,0.013215343223600103,0.0,0.29415115197926656,0.3832472748135398,0.11488440465054123,0.1713747645951036,0.11640645756169221,0.1391529073941134,-0.04014513108614237,0.185969868173258,0.814030131826742,0.0,938.0,1572.1,1504.7,0.3958798004785271,0.3756361528055143,0.5866180027662352,0.0,0.1713747645951036,1.0,0.9581198405231925,6.0,6.0,2.0,11.0,11.0,1.0,2.0,0.2650494664869939
Maximin,0.09406202481432155,0.02053686179924712,0.016108964144384813,0.4537227773766516,0.3786957353222413,0.19738972046503475,0.2711864406779661,0.18392017128479227,0.21224694903086866,-0.0497518873027446,0.2933145009416196,0.6836158192090396,0.023069679849340868,1058.7,1596.5,1550.8000000000002,0.045500628573745594,0.04767119757778748,0.48769541952107176,0.0574519084823534,0.2711864406779661,0.9587787303969724,0.9101655596355075,9.0,9.0,5.0,10.0,10.0,4.0,5.0,0.2266041675866206
Nash Social Welfare,0.1020711703146085,0.02110357440724413,0.020772226759783283,0.4537684685056247,0.4049658953273411,0.2110726504652619,0.2900188323917137,0.19268757716411145,0.2228715003589375,-0.05242215625592117,0.3102636534839925,0.6624293785310734,0.027306967984934087,1081.2,1600.7,1560.7,0.0,0.0,0.46019915576129355,0.06846113538617626,0.2900188323917137,0.9468458957481307,0.906453720990875,10.0,10.0,6.0,7.0,8.0,5.0,6.0,0.22173959118617947
