Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Equal_Opportunity Normalized,Conditional_Outcome_Parity Normalized,Total_Profit Normalized,Accuracy Normalized,Unexploited_Profit Normalized,Total_Loss Normalized,Demographic_Parity Rank,Equal_Opportunity Rank,Conditional_Outcome_Parity Rank,Total_Profit Rank,Accuracy Rank,Unexploited_Profit Rank,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.779760019045077,0.006821203641387129,0.0,1.0,1.0,1.0,1.0,-0.08057105349524118,0.0,0.0,0.8206214689265536,0.009887005649717515,0.1694915254237288,2103.0,1761.2,2103.0,0.61297950604309,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9225959012086181
Outcome_Pred_Model,0.6396075479207968,0.12151857564701601,0.12148440268126678,0.40080657670234215,0.3930420093070695,0.39617853410956866,0.775894538606403,-0.10043446325034766,-0.07735821966977752,-0.057153446997776136,0.8469868173258004,0.00847457627118644,0.1445386064030132,1762.8000000000002,1735.0,1761.4,0.5175662487801219,0.6850412112000932,0.4068101057760355,0.807844627635501,0.775894538606403,0.586181805817015,0.25443506147612854,5.0,4.0,8.0,4.0,3.0,9.0,9.0,0.6568020118808929
Regulatory,0.7251544405066347,0.1606607501102914,0.041243947415205914,0.3807706146279895,0.35680181041626824,0.3551689760226884,0.7951977401129944,0.06716207979745892,0.05033740129217523,-0.0963493268416965,0.9279661016949152,0.0018832391713747645,0.07015065913370998,1745.9,1876.8999999999999,1778.2,0.6773890849035356,0.7950546559887761,0.0,0.9251332838225248,0.7951977401129944,0.8595087479244744,0.0,1.0,2.0,11.0,2.0,2.0,7.0,11.0,0.6385835697904099
Bank,0.6503660364539242,0.12416878930640399,0.11737274663888635,0.3966911073510058,0.3988286479250334,0.3977213269778181,0.7702448210922788,-0.12075109006516949,-0.10374730796841347,-0.06160579646180442,0.8347457627118644,0.0,0.1652542372881356,1758.0,1697.9,1753.0,0.41997597777944595,0.5775998129420705,0.3605996172342363,0.8225950016644336,0.7702448210922788,0.6001875385778166,0.23720793282021,6.0,6.0,9.0,3.0,4.0,8.0,10.0,0.6287320477725347
Compromise Programming,0.3997670195770344,0.06785556464363804,0.006105884464480189,0.46242064686794765,0.4034981194619749,0.2737967791101282,0.5560263653483992,-0.0684045196680576,-0.05553481694185214,-0.06301922158759343,0.6271186440677966,0.3662900188323917,0.006591337099811676,1631.8999999999999,1822.2999999999997,1670.1,0.6714210644846481,0.7738937277138012,0.3459298196121803,0.47901242323486304,0.5560263653483992,0.9792012305512965,0.603259614298279,2.0,3.0,10.0,5.0,5.0,6.0,8.0,0.521683207605698
Applicant,0.050389461252784894,0.013009251274388888,0.0,0.29376197318007663,0.3813348632625741,0.11225724153931217,0.16666666666666666,0.07599981246190632,0.09628140703517588,-0.03227403227403225,0.1807909604519774,0.8192090395480226,0.0,1461.2,1585.0,1500.8000000000002,0.634937317018242,0.6079967264862336,0.6650310559298561,0.0,0.16666666666666666,1.0,0.9597759628454666,3.0,5.0,2.0,11.0,11.0,1.0,2.0,0.3266603412562863
Kalai-Smorodinsky,0.10633547625938765,0.019402913624931975,0.2935695056161498,0.38148159737134724,0.36828743545611015,0.2808002668280836,0.35969868173258,0.199048244174598,0.23493180186647522,-0.04307330827067668,0.3290960451977401,0.4063088512241055,0.2645951035781544,1557.1999999999998,1274.8,1559.4999999999998,0.04387808723068831,0.043490968609340985,0.5529464534666981,0.07670451515885686,0.35969868173258,0.0,0.9182153726246978,10.0,10.0,4.0,7.0,7.0,10.0,3.0,0.27858528386428066
Nash Bargaining,0.11007268228734575,0.02002118947256562,0.2935695056161498,0.3816804547419512,0.3711560527825588,0.28383050899047363,0.3667608286252354,0.20818291215403129,0.24561378320172284,-0.042852679966082,0.3370998116760829,0.3983050847457627,0.2645951035781544,1560.1999999999998,1278.9,1563.1,0.0,0.0,0.5552363325123211,0.08182839353320491,0.3667608286252354,0.0,0.9141964070087362,11.0,11.0,3.0,6.0,6.0,10.0,5.0,0.2741172766591994
Nash Social Welfare,0.09937560396697429,0.020490128839670125,0.002772304270738176,0.35968435653665676,0.37843596608656854,0.16633957520006393,0.2735404896421846,0.19040586369106222,0.22146446518305812,-0.05049354593773725,0.3055555555555556,0.692090395480226,0.0023540489642184556,1506.8000000000002,1644.9,1552.0,0.0853914871255913,0.09832232419477394,0.4759325509279483,0.06716221568151029,0.2735404896421846,0.9905565659317388,0.9111481702070285,7.0,8.0,6.0,8.0,8.0,4.0,6.0,0.23511344660388384
Proportional Fairness,0.09937560396697429,0.020490128839670125,0.002772304270738176,0.35968435653665676,0.37843596608656854,0.16633957520006393,0.2735404896421846,0.19040586369106222,0.22146446518305812,-0.05049354593773725,0.3055555555555556,0.692090395480226,0.0023540489642184556,1506.8000000000002,1644.9,1552.0,0.0853914871255913,0.09832232419477394,0.4759325509279483,0.06716221568151029,0.2735404896421846,0.9905565659317388,0.9111481702070285,7.0,8.0,6.0,8.0,8.0,4.0,6.0,0.23511344660388384
