Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Equal_Opportunity Normalized,Conditional_Outcome_Parity Normalized,Total_Profit Normalized,Accuracy Normalized,Unexploited_Profit Normalized,Total_Loss Normalized,Demographic_Parity Rank,Equal_Opportunity Rank,Conditional_Outcome_Parity Rank,Total_Profit Rank,Accuracy Rank,Unexploited_Profit Rank,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.8063006935264503,0.009261888678398722,0.0,1.0,1.0,1.0,1.0,0.005328441649196325,0.0,0.0,0.8383458646616542,0.013157894736842105,0.14849624060150377,525.0,451.79999999999995,528.8,0.9767707539984769,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9953541507996954
Regulatory,0.7289668266268511,0.15003863602373,0.0598920941282103,0.36316891246468713,0.34840400370853913,0.34525071958794123,0.806390977443609,0.012840670859538772,0.01519888562142091,0.0073715562174236915,0.9342105263157895,0.0037593984962406013,0.06203007518796992,442.8,476.09999999999997,447.1,0.944021325209444,0.9364894580261283,0.888681218469467,0.8982313176603525,0.806390977443609,0.8141392806383098,0.0,2.0,2.0,2.0,2.0,2.0,7.0,11.0,0.8687431632452963
Outcome_Pred_Model,0.6095656505117805,0.13312914402512588,0.178113204622512,0.33971610376896716,0.34184783637017274,0.34072150072150076,0.7462406015037594,-0.1878057302585604,-0.17049992261259872,0.027151211361737704,0.8533834586466166,0.005639097744360902,0.14097744360902256,429.3,435.6,427.4,0.1812642802741814,0.287543655413271,0.5899862014587027,0.7411035177688678,0.7462406015037594,0.4472684780717444,0.12011566055809218,9.0,9.0,6.0,4.0,4.0,9.0,10.0,0.6009670405018541
Bank,0.6383500630500781,0.13139363876564136,0.1516576892407205,0.36329341580032465,0.3698889330381639,0.3664818507087646,0.7556390977443609,-0.22938504542278126,-0.22008976938554403,0.022175606832484207,0.8402255639097744,0.0,0.15977443609022557,435.0,428.1,431.2,0.0,0.0803259604190919,0.6651234204173173,0.7789828047279241,0.7556390977443609,0.5293668116083574,0.13244372817019043,11.0,10.0,3.0,3.0,3.0,8.0,9.0,0.5910768841267926
Compromise Programming,0.4000776025867752,0.08414892816192232,0.009097792349423348,0.2888858552764632,0.30525304292120437,0.24844298681507984,0.5319548872180451,-0.21593291404612158,-0.23931279987618015,-0.027380952380952395,0.6165413533834586,0.37781954887218044,0.005639097744360902,412.1,456.5,416.8,0.05864432597105862,0.0,0.5865168539325843,0.4654245241022107,0.5319548872180451,0.9717671880524436,0.46804397106986323,10.0,11.0,7.0,5.0,5.0,6.0,8.0,0.4348990956883888
Nash Social Welfare,0.0878746876367005,0.02024959494491251,0.0050692328106616445,0.29203235876771727,0.32778133674994664,0.14512734613237124,0.2349624060150376,0.12526205450733752,0.11756694010215135,-0.02384615384615385,0.26127819548872183,0.7349624060150376,0.0037593984962406013,380.20000000000005,407.1,388.70000000000005,0.45392231530845395,0.5087310826542493,0.6398962834917893,0.05457633364102974,0.2349624060150376,0.9842688543368586,0.9219494236533219,5.0,5.0,4.0,8.0,8.0,4.0,5.0,0.32366394889426964
Proportional Fairness,0.0878746876367005,0.02024959494491251,0.0050692328106616445,0.29203235876771727,0.32778133674994664,0.14512734613237124,0.2349624060150376,0.12526205450733752,0.11756694010215135,-0.02384615384615385,0.26127819548872183,0.7349624060150376,0.0037593984962406013,380.20000000000005,407.1,388.70000000000005,0.45392231530845395,0.5087310826542493,0.6398962834917893,0.05457633364102974,0.2349624060150376,0.9842688543368586,0.9219494236533219,5.0,5.0,4.0,8.0,8.0,4.0,5.0,0.32366394889426964
Nash Bargaining,0.10924600830201878,0.019006095767485916,0.32224180738081926,0.3635578002244669,0.37903999654013837,0.253663288537987,0.32894736842105265,0.15234102026554858,0.1412474849094567,-0.03148425787106446,0.30451127819548873,0.41353383458646614,0.2819548872180451,382.9,310.2,382.7,0.33587204874333576,0.40977881257275917,0.5245523305762854,0.08270024921855004,0.32894736842105265,0.0,0.9307825527096159,8.0,8.0,8.0,6.0,6.0,10.0,3.0,0.32020387307605536
Kalai-Smorodinsky,0.10713887618461902,0.019006095767485916,0.32224180738081926,0.3629767267267267,0.37754522822922665,0.25189636867616894,0.325187969924812,0.14544025157232704,0.13307537532889646,-0.033816425120772986,0.3007518796992481,0.41729323308270677,0.2819548872180451,382.5,309.70000000000005,382.2,0.36595582635186596,0.44392704695382224,0.48933398469304645,0.07992733655168797,0.325187969924812,0.0,0.9307825527096159,7.0,7.0,9.0,7.0,7.0,10.0,3.0,0.3171186174892449
Maximin,0.07883960375844794,0.022144006431028464,0.0,0.2840544948062414,0.32030749519538754,0.13526409986293766,0.2161654135338346,0.12089447938504544,0.10431821699427332,-0.040253018976423194,0.2462406015037594,0.7537593984962406,0.0,378.80000000000007,406.2,387.20000000000005,0.4729626808834728,0.5640926141508213,0.3921341853448007,0.04268647712691404,0.2161654135338346,1.0,0.908492574267046,4.0,4.0,10.0,10.0,10.0,1.0,7.0,0.26802283408457134
Applicant,0.04640221472428242,0.01721791340545391,0.0,0.27431679606965825,0.2896647448216955,0.09397114578925973,0.13909774436090225,0.04350104821802936,0.02652840117628852,-0.06622023809523814,0.15977443609022557,0.8402255639097744,0.0,370.6,394.79999999999995,377.70000000000005,0.8103579588728103,0.8891475876341999,0.0,0.0,0.13909774436090225,1.0,0.9434848092665564,3.0,3.0,11.0,11.0,11.0,1.0,2.0,0.21771068951892297
