Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Equal_Opportunity Normalized,Conditional_Outcome_Parity Normalized,Total_Profit Normalized,Accuracy Normalized,Unexploited_Profit Normalized,Total_Loss Normalized,Demographic_Parity Rank,Equal_Opportunity Rank,Conditional_Outcome_Parity Rank,Total_Profit Rank,Accuracy Rank,Unexploited_Profit Rank,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.8063006935264503,0.009261888678398722,0.0,1.0,1.0,1.0,1.0,0.005328441649196325,0.0,0.0,0.8383458646616542,0.013157894736842105,0.14849624060150377,532.0,505.3,528.8,0.9732573432704956,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9946514686540991
Regulatory,0.7424764436049206,0.15258425145819832,0.04753130868587805,0.37099135063206923,0.3506461561749068,0.3474161120422128,0.8120300751879699,0.026642208245981736,0.02055409379353046,-0.0001937608990505435,0.9417293233082706,0.0018796992481203006,0.05639097744360902,439.29999999999995,461.40000000000003,448.5,0.8662867163524774,0.8961038961038958,0.9967719697838451,0.9155129998552893,0.8120300751879699,0.8526022769369699,0.0,2.0,2.0,2.0,2.0,2.0,2.0,11.0,0.8805263672735104
Bank,0.7024392790909096,0.14202477690812104,0.08756847319988904,0.366120218579235,0.3558305424684491,0.3551238081973968,0.7988721804511278,-0.11696366177498252,-0.10314192849404114,0.020557010503787554,0.9172932330827067,0.0,0.08270676691729323,431.79999999999995,450.90000000000003,442.7,0.4129767645769399,0.47864184008762356,0.6575230018790766,0.8625140233181909,0.7988721804511278,0.7284443892115154,0.07367639177356325,9.0,9.0,8.0,3.0,3.0,4.0,10.0,0.7061516301352926
Compromise Programming,0.5103495473790779,0.10006730146069095,0.21653950433727948,0.3446153846153846,0.32482829085542375,0.33258934537970114,0.6597744360902256,0.06769741439552768,0.05599752360315735,-0.008678881388621051,0.7330827067669173,0.07894736842105263,0.18796992481203006,392.70000000000005,405.4,419.70000000000005,0.660236738272687,0.7169457048975125,0.8554110168657622,0.6082362964214666,0.6597744360902256,0.3284967156396631,0.36642537130227454,5.0,5.0,4.0,5.0,5.0,6.0,8.0,0.6886865847480734
Outcome_Pred_Model,0.6019073730948918,0.1326306146866743,0.18577148203940066,0.3355326651818857,0.33811091559289325,0.3368164622934308,0.7368421052631579,-0.1992487770789657,-0.19783315276273028,0.00868468468468464,0.8439849624060151,0.005639097744360902,0.15037593984962405,403.79999999999995,421.3,424.8,0.0,0.0,0.8553143347429069,0.7294354651388729,0.7368421052631579,0.4239103820259897,0.13922207521920893,11.0,11.0,5.0,4.0,4.0,5.0,9.0,0.6116868020816191
Kalai-Smorodinsky,0.19961975157433712,0.0522174971334563,0.2457150840776772,0.32726451669750634,0.32572974697059387,0.22961023059655805,0.33458646616541354,-0.03930817610062892,-0.036526853428261896,0.010548523206751037,0.36466165413533835,0.4398496240601504,0.19548872180451127,350.4,341.5,378.1,0.8027181060938184,0.8153653575340322,0.824263038548753,0.19690943656180432,0.33458646616541354,0.238021318650306,0.700286768778334,4.0,4.0,6.0,7.0,7.0,9.0,6.0,0.4986127027070406
Nash Bargaining,0.20098972589578606,0.0522174971334563,0.2457150840776772,0.327897471986142,0.3272245152815057,0.23123730864541,0.3383458646616541,-0.032407407407407385,-0.02835474384770159,0.0139384667686554,0.3684210526315789,0.43609022556390975,0.19548872180451127,350.79999999999995,342.29999999999995,378.6,0.8373520385795704,0.8566734470348929,0.7677870400242375,0.19872293254235737,0.3383458646616541,0.238021318650306,0.700286768778334,3.0,3.0,7.0,6.0,6.0,9.0,6.0,0.4961107480938947
Nash Social Welfare,0.0820729892254017,0.018479815793409442,0.22675479548748012,0.35600895987534087,0.3977516305949069,0.20716712987008645,0.25375939849624063,0.09311670160726765,0.08487850177991021,-0.030037546933667114,0.24060150375939848,0.5676691729323309,0.19172932330827067,347.40000000000003,331.79999999999995,374.7,0.5326611135466899,0.5709591613206073,0.4995785548261852,0.04130755577519224,0.25375939849624063,0.2968184240547134,0.9356839579237671,6.0,6.0,9.0,8.0,8.0,7.0,4.0,0.3162132042281097
Proportional Fairness,0.0820729892254017,0.018479815793409442,0.22675479548748012,0.35600895987534087,0.3977516305949069,0.20716712987008645,0.25375939849624063,0.09311670160726765,0.08487850177991021,-0.030037546933667114,0.24060150375939848,0.5676691729323309,0.19172932330827067,347.40000000000003,331.79999999999995,374.7,0.5326611135466899,0.5709591613206073,0.4995785548261852,0.04130755577519224,0.25375939849624063,0.2968184240547134,0.9356839579237671,6.0,6.0,9.0,8.0,8.0,7.0,4.0,0.3162132042281097
Applicant,0.050867907272821034,0.01721791340545391,0.07897752900581713,0.3240865980784157,0.3102793027297767,0.12466766695622418,0.15601503759398497,0.12465059399021666,0.12289119331372853,0.007914075749010707,0.16917293233082706,0.7763157894736842,0.05451127819548872,364.2,344.70000000000005,373.8,0.37439719421306417,0.37881395712721033,0.8681525747664814,0.0,0.15601503759398497,0.7550854737551014,0.9444886019687044,10.0,10.0,3.0,11.0,11.0,3.0,3.0,0.31091596883350314
